iter	Logloss
0	0.3814001933
1	0.3335555062
2	0.3198962022
3	0.3128794182
4	0.3050530313
5	0.3026652709
6	0.3000383552
7	0.2980113842
8	0.2959364675
9	0.2944811676
10	0.292497419
11	0.29107916
12	0.288970095
13	0.2873012868
14	0.2853900604
15	0.284232241
16	0.2835962652
17	0.2829185917
18	0.2811662271
19	0.2802722786
20	0.2794729373
21	0.2789528833
22	0.2783083784
23	0.2773581678
24	0.276861456
25	0.2764283682
26	0.2749990784
27	0.274667381
28	0.274031687
29	0.2732436613
30	0.2717504209
31	0.2706611398
32	0.2703224707
33	0.2696702989
34	0.2685344084
35	0.2679544853
36	0.2671935245
37	0.2659005988
38	0.2647715062
39	0.263997411
40	0.2634123025
41	0.2628693817
42	0.2621492929
43	0.2617613868
44	0.2608069837
45	0.2605539061
46	0.2601015244
47	0.2590818945
48	0.2581116648
49	0.2577167177
50	0.2572936682
51	0.2570993884
52	0.2566159351
53	0.2558924954
54	0.2555033944
55	0.2550370948
56	0.254477286
57	0.2541760265
58	0.2538228457
59	0.2536338585
60	0.2528037844
61	0.2525788056
62	0.2521413258
63	0.2515536759
64	0.2508920409
65	0.2501586497
66	0.2497648224
67	0.2495219271
68	0.2493327336
69	0.2492062999
70	0.2490617283
71	0.248885892
72	0.2486468147
73	0.2484826408
74	0.2482790975
75	0.2479271183
76	0.2477274631
77	0.2474499718
78	0.2471515785
79	0.2468511659
80	0.2465402867
81	0.2463951478
82	0.2462826159
83	0.2458734737
84	0.2457106935
85	0.2454218839
86	0.2451916912
87	0.2450220946
88	0.2446840941
89	0.2443869409
90	0.2435281092
91	0.2431125677
92	0.2424923459
93	0.242050009
94	0.241480876
95	0.2412139682
96	0.2408369817
97	0.2406804175
98	0.2402320482
99	0.2398029278
100	0.2393845164
101	0.2392580531
102	0.2391657185
103	0.2389892811
104	0.2387391579
105	0.2385028125
106	0.2383112606
107	0.2381306717
108	0.2379751255
109	0.2377780695
110	0.2376710745
111	0.2375802375
112	0.2374002058
113	0.2372956208
114	0.2370717007
115	0.2370057225
116	0.2368537226
117	0.2366002106
118	0.2364229868
119	0.2362301585
120	0.2360415163
121	0.2357321693
122	0.235601723
123	0.2354483984
124	0.2353318502
125	0.2352418133
126	0.2351651919
127	0.2350034435
128	0.2349017714
129	0.2345916902
130	0.2343382585
131	0.2338962293
132	0.2337045395
133	0.2335507172
134	0.2332948965
135	0.2331732212
136	0.2330155829
137	0.232894056
138	0.2328045671
139	0.2327118389
140	0.2325919617
141	0.2325092702
142	0.232404886
143	0.2322998843
144	0.2322352819
145	0.2321484781
146	0.2320145925
147	0.2319371975
148	0.2317123091
149	0.2315338785
150	0.2314815668
151	0.2313430652
152	0.2312501324
153	0.2311517535
154	0.2310581702
155	0.2309559546
156	0.2306231467
157	0.2304650893
158	0.2303308003
159	0.2300931302
160	0.2299937977
161	0.2298970546
162	0.2298428773
163	0.2296947205
164	0.2295676577
165	0.2294809684
166	0.2293614251
167	0.2292644787
168	0.229084944
169	0.2286870507
170	0.2286104125
171	0.2285192424
172	0.2284147989
173	0.2282983005
174	0.2282044422
175	0.2281143433
176	0.227973478
177	0.227909988
178	0.2277320017
179	0.2275465135
180	0.2274259263
181	0.2273222419
182	0.2272325868
183	0.2271393949
184	0.2270608707
185	0.2269782074
186	0.2268868266
187	0.2268122383
188	0.2266430326
189	0.2265855906
190	0.2265267035
191	0.2264607351
192	0.2263747221
193	0.2263051927
194	0.2261997448
195	0.2261317277
196	0.2260787756
197	0.2260253464
198	0.2259076666
199	0.2257983072
200	0.225661838
201	0.2255346772
202	0.225463148
203	0.225348283
204	0.2252760247
205	0.2252167152
206	0.2251369135
207	0.2250191284
208	0.2249522132
209	0.2249018278
210	0.2247049173
211	0.2246377196
212	0.2245449709
213	0.2244651794
214	0.224363919
215	0.2242863802
216	0.2241828852
217	0.2241210454
218	0.2240681504
219	0.2240034169
220	0.2239534603
221	0.2238959804
222	0.2238294503
223	0.2237627724
224	0.2237169728
225	0.2235898173
226	0.2235345438
227	0.2234680732
228	0.2233903157
229	0.2233050228
230	0.2232405679
231	0.2230964198
232	0.2230473887
233	0.2228746592
234	0.2227963664
235	0.2227413747
236	0.222666683
237	0.2226271255
238	0.2225813689
239	0.2224955144
240	0.2224366123
241	0.2223600377
242	0.2222922371
243	0.2220508376
244	0.2217596894
245	0.2216609242
246	0.2215953979
247	0.2215452613
248	0.2214794099
249	0.2213683859
250	0.2213130438
251	0.2212616319
252	0.2212047869
253	0.2211493716
254	0.2211060791
255	0.2210560195
256	0.2210158669
257	0.2209301053
258	0.2208335785
259	0.2207833924
260	0.2207192168
261	0.2206512342
262	0.2205919639
263	0.2204345748
264	0.220388246
265	0.2202557728
266	0.2201809309
267	0.2201392554
268	0.2200806954
269	0.2200195714
270	0.2199525112
271	0.2198825351
272	0.2197936878
273	0.2197422796
274	0.2196054271
275	0.2195411049
276	0.2194922008
277	0.2194114204
278	0.219341328
279	0.2192913982
280	0.2192400092
281	0.2191889634
282	0.2191439865
283	0.2188691623
284	0.2187831851
285	0.2186571377
286	0.2185940385
287	0.2185473245
288	0.2184966421
289	0.2184439221
290	0.2183299707
291	0.2182691258
292	0.2181544488
293	0.21805017
294	0.2179957635
295	0.217924498
296	0.2178776563
297	0.2177966928
298	0.2176685951
299	0.2176154365
